name_he,se_cluster,se_rank,se_index,he_join_key,settlement_id
קריית ביאליק,6.0,162.0,0.328159698878485,קריית ביאליק,
חולון,7.0,166.0,0.37123578034438,חולון,
פסוטה,7.0,153.0,0.390576799539716,פסוטה,
חיפה,7.0,165.0,0.390612174986643,חיפה,
אליכין,7.0,163.0,0.400345878525891,אליכין,
קריית מוצקין,7.0,167.0,0.40195960098803,קריית מוצקין,
מעלה יוסף,7.0,186.0,0.465849389588245,מעלה יוסף,
מגידו,7.0,169.0,0.466504072519644,מגידו,
עמק הירדן,7.0,164.0,0.474757820443429,עמק הירדן,
אזור,7.0,174.0,0.495604131540961,אזור,
יבנה,7.0,170.0,0.513738427359783,יבנה,
אפרת,7.0,171.0,0.514601509868647,אפרת,15.0
מטה אשר,7.0,173.0,0.52029816317265,מטה אשר,
לכיש,7.0,177.0,0.547525622373388,לכיש,
פתח תקווה,7.0,178.0,0.550041056798598,פתח תקווה,
ג'ש (גוש חלב),7.0,168.0,0.551588852836347,ג ש גוש חלב,
נשר,7.0,182.0,0.56436274202287,נשר,
בית דגן,7.0,175.0,0.571320041713935,בית דגן,
תמר,7.0,184.0,0.576073557894829,תמר,
מגילות ים המלח,7.0,187.0,0.576215162629972,מגילות ים המלח,
הגליל התחתון,7.0,172.0,0.593536856693167,הגליל התחתון,
רחובות,7.0,183.0,0.601450671177857,רחובות,
הגליל העליון,7.0,176.0,0.602380316990632,הגליל העליון,
משגב,7.0,179.0,0.61884249249168,משגב,
מנשה,7.0,181.0,0.637839251239665,מנשה,
ראש פינה,7.0,180.0,0.643516313100109,ראש פינה,
חוף אשקלון,7.0,185.0,0.648184895648574,חוף אשקלון,
פרדס חנה-כרכור,7.0,188.0,0.703761731849565,פרדס חנה כרכור,
ראשון לציון,7.0,190.0,0.726795782232633,ראשון לציון,
גדרה,7.0,189.0,0.746739068374713,גדרה,
מטה יהודה,7.0,192.0,0.757310924593459,מטה יהודה,
בית אריה-עופרים,7.0,201.0,0.762896397086821,בית אריה עופרים,
שער הנגב,7.0,204.0,0.769407841452294,שער הנגב,
גן יבנה,7.0,191.0,0.773669276847494,גן יבנה,
ראש העין,7.0,194.0,0.78106085755783,ראש העין,
כפר יונה,7.0,196.0,0.781458473287862,כפר יונה,
באר יעקב,7.0,197.0,0.782741778544783,באר יעקב,
הערבה התיכונה,7.0,199.0,0.791768041396755,הערבה התיכונה,
יקנעם עילית,7.0,193.0,0.795086717880612,יקנעם עילית,
מבואות החרמון,7.0,195.0,0.799224894535132,מבואות החרמון,
חבל מודיעין,7.0,202.0,0.8369203556641,חבל מודיעין,
באר טוביה,7.0,200.0,0.855811392396049,באר טוביה,
מטולה,7.0,203.0,0.891025755400212,מטולה,
יסוד המעלה,7.0,207.0,0.938158905958467,יסוד המעלה,
מעיליא,7.0,198.0,0.958916403155202,מעיליא,
יהוד-מונוסון,7.0,208.0,0.962620481770494,יהוד מונוסון,
בני שמעון,7.0,206.0,0.97131269230794,בני שמעון,
חוף הכרמל,8.0,205.0,1.04329419378981,חוף הכרמל,
אלקנה,8.0,209.0,1.07334368834655,אלקנה,13.0
מבשרת ציון,8.0,216.0,1.0922078784358,מבשרת ציון,
רמת גן,8.0,210.0,1.09933742073598,רמת גן,
יואב,8.0,211.0,1.1110384126215,יואב,
עמק יזרעאל,8.0,213.0,1.11473409661279,עמק יזרעאל,
זכרון יעקב,8.0,215.0,1.11717929536182,זכרון יעקב,
גבעת שמואל,8.0,212.0,1.13506035246151,גבעת שמואל,
אלפי מנשה,8.0,219.0,1.14168078798777,אלפי מנשה,12.0
גזר,8.0,214.0,1.16165002923498,גזר,
כפר סבא,8.0,222.0,1.19214036094155,כפר סבא,
אלונה,8.0,217.0,1.19824312068227,אלונה,
קריית טבעון,8.0,224.0,1.21546960622859,קריית טבעון,
לב השרון,8.0,220.0,1.22936321208065,לב השרון,
ברנר,8.0,227.0,1.23944939401629,ברנר,
קדימה-צורן,8.0,226.0,1.24054471039999,קדימה צורן,
עמק חפר,8.0,221.0,1.24108950967523,עמק חפר,
כפר תבור,8.0,234.0,1.26572255965062,כפר תבור,
רעננה,8.0,223.0,1.27987115513508,רעננה,
תל אביב -יפו,8.0,218.0,1.29252391191505,תל אביב יפו,
מזכרת בתיה,8.0,228.0,1.29412312978528,מזכרת בתיה,
נס ציונה,8.0,232.0,1.30361324482957,נס ציונה,
רמת ישי,8.0,231.0,1.31001811928829,רמת ישי,
אורנית,8.0,230.0,1.34192275451799,אורנית,4.0
הרצלייה,8.0,225.0,1.36071610391604,הרצלייה,
בנימינה-גבעת עדה,8.0,229.0,1.36519294500976,בנימינה גבעת עדה,
חוף השרון,8.0,235.0,1.38003766816054,חוף השרון,
גן רווה,8.0,233.0,1.38948805267471,גן רווה,
דרום השרון,8.0,236.0,1.41597751631977,דרום השרון,
מודיעין-מכבים-רעות,8.0,237.0,1.42016822765406,מודיעין מכבים רעות,
תל מונד,9.0,238.0,1.47222313130191,תל מונד,
גני תקווה,9.0,239.0,1.47448107069317,גני תקווה,
פרדסייה,9.0,240.0,1.49214590296197,פרדסייה,
מיתר,9.0,244.0,1.49507980417734,מיתר,
כפר ורדים,9.0,241.0,1.5598030443827,כפר ורדים,
הוד השרון,9.0,245.0,1.56742905818758,הוד השרון,
גבעתיים,9.0,242.0,1.56890733568276,גבעתיים,
קריית אונו,9.0,246.0,1.59412003890112,קריית אונו,
אבן יהודה,9.0,243.0,1.62998117714398,אבן יהודה,
שוהם,9.0,248.0,1.68488864716694,שוהם,
רמת השרון,9.0,247.0,1.6988326212998,רמת השרון,
הר אדר,9.0,250.0,1.74818391559113,הר אדר,39.0
גדרות,9.0,249.0,1.75980603244407,גדרות,
עומר,9.0,252.0,1.85631064333778,עומר,
כוכב יאיר,9.0,251.0,1.90646625286262,כוכב יאיר,
להבים,9.0,253.0,1.97203604550363,להבים,
כפר שמריהו,10.0,254.0,2.46154589448067,כפר שמריהו,
סביון,10.0,255.0,2.58668272851169,סביון,
