semel,year,pop
4026,2007,510.0
4026,2008,534.0
4026,2009,583.0
4026,2010,622.0
4026,2011,683.0
4026,2012,742.0
4026,2013,785.0
4026,2014,815.0
4026,2015,827.0
4026,2016,852.0
4026,2017,839.0
4026,2018,823.0
4026,2019,810.0
4026,2020,854.0
4026,2021,876.0
4026,2022,889.0
4026,2023,910.0
4026,2024,885.0
4028,2003,277.0
4028,2004,285.0
4028,2005,302.0
4028,2006,319.0
4028,2007,333.0
4028,2008,323.0
4028,2009,333.0
4028,2010,352.0
4028,2011,372.0
4028,2012,380.0
4028,2013,387.0
4028,2014,394.0
4028,2015,419.0
4028,2016,450.0
4028,2017,459.0
4028,2018,461.0
4028,2019,461.0
4028,2020,470.0
4028,2021,465.0
4028,2022,486.0
4028,2023,511.0
4028,2024,543.0
4029,2022,87.0
4029,2023,102.0
4029,2024,111.0
4100,2003,6288.0
4100,2004,6357.0
4100,2005,6535.0
4100,2006,6479.0
4100,2007,6444.0
4100,2008,6456.0
4100,2009,6529.0
4100,2010,6719.0
4100,2011,6607.0
4100,2012,6725.0
4100,2013,6736.0
4100,2014,6829.0
4100,2015,6913.0
4100,2016,6998.0
4100,2017,7127.0
4100,2018,7132.0
4100,2019,7297.0
4100,2020,7500.0
4100,2021,7606.0
4100,2022,7876.0
4100,2023,7956.0
4100,2024,8012.0
4101,2003,353.0
4101,2004,411.0
4101,2005,469.0
4101,2006,495.0
4101,2007,497.0
4101,2008,570.0
4101,2009,586.0
4101,2010,598.0
4101,2011,630.0
4101,2012,642.0
4101,2013,643.0
4101,2014,661.0
4101,2015,675.0
4101,2016,701.0
4101,2017,701.0
4101,2018,724.0
4101,2019,743.0
4101,2020,743.0
4101,2021,754.0
4101,2022,741.0
4101,2023,789.0
4101,2024,817.0
4201,2003,8440.0
4201,2004,8633.0
4201,2005,8847.0
4201,2006,9023.0
4201,2007,9180.0
4201,2008,9474.0
4201,2009,9631.0
4201,2010,9833.0
4201,2011,9927.0
4201,2012,10190.0
4201,2013,10340.0
4201,2014,10485.0
4201,2015,10643.0
4201,2016,10804.0
4201,2017,10930.0
4201,2018,11044.0
4201,2019,11180.0
4201,2020,11267.0
4201,2021,11404.0
4201,2022,11458.0
4201,2023,11221.0
4201,2024,11264.0
4203,2003,3105.0
4203,2004,3168.0
4203,2005,3235.0
4203,2006,3318.0
4203,2007,3385.0
4203,2008,3021.0
4203,2009,3097.0
4203,2010,3144.0
4203,2011,3249.0
4203,2012,3345.0
4203,2013,3375.0
4203,2014,3447.0
4203,2015,3520.0
4203,2016,3557.0
4203,2017,3592.0
4203,2018,3650.0
4203,2019,3714.0
4203,2020,3753.0
4203,2021,3812.0
4203,2022,3869.0
4203,2023,4185.0
4203,2024,4205.0
4204,2003,347.0
4204,2004,325.0
4204,2005,329.0
4204,2006,336.0
4204,2007,339.0
4204,2008,275.0
4204,2009,280.0
4204,2010,276.0
4204,2011,298.0
4204,2012,309.0
4204,2013,320.0
4204,2014,323.0
4204,2015,344.0
4204,2016,383.0
4204,2017,398.0
4204,2018,434.0
4204,2019,459.0
4204,2020,473.0
4204,2021,459.0
4204,2022,481.0
4204,2023,530.0
4204,2024,568.0
4301,2003,230.0
4301,2004,235.0
4301,2005,210.0
4301,2006,215.0
4301,2007,216.0
4301,2008,222.0
4301,2009,223.0
4301,2010,234.0
4301,2011,255.0
4301,2012,256.0
4301,2013,252.0
4301,2014,259.0
4301,2015,277.0
4301,2016,292.0
4301,2017,295.0
4301,2018,329.0
4301,2019,344.0
4301,2020,345.0
4301,2021,356.0
4301,2022,387.0
4301,2023,393.0
4301,2024,402.0
4303,2003,161.0
4303,2004,167.0
4303,2005,173.0
4303,2006,174.0
4303,2007,175.0
4303,2008,125.0
4303,2009,124.0
4303,2010,117.0
4303,2011,110.0
4303,2012,114.0
4303,2013,122.0
4303,2014,130.0
4303,2015,124.0
4303,2016,115.0
4303,2017,118.0
4303,2018,115.0
4303,2019,110.0
4303,2020,127.0
4303,2021,141.0
4303,2022,140.0
4303,2023,227.0
4303,2024,226.0
4304,2003,465.0
4304,2004,484.0
4304,2005,504.0
4304,2006,510.0
4304,2007,529.0
4304,2008,563.0
4304,2009,605.0
4304,2010,631.0
4304,2011,659.0
4304,2012,783.0
4304,2013,809.0
4304,2014,830.0
4304,2015,858.0
4304,2016,862.0
4304,2017,900.0
4304,2018,931.0
4304,2019,965.0
4304,2020,995.0
4304,2021,1026.0
4304,2022,1059.0
4304,2023,1153.0
4304,2024,1192.0
4501,2003,1905.0
4501,2004,1961.0
4501,2005,2009.0
4501,2006,2065.0
4501,2007,2129.0
4501,2008,2119.0
4501,2009,2169.0
4501,2010,2219.0
4501,2011,2244.0
4501,2012,2301.0
4501,2013,2361.0
4501,2014,2415.0
4501,2015,2484.0
4501,2016,2517.0
4501,2017,2559.0
4501,2018,2607.0
4501,2019,2659.0
4501,2020,2702.0
4501,2021,2745.0
4501,2022,2806.0
4501,2023,2692.0
4501,2024,2739.0
4502,2003,1758.0
4502,2004,1803.0
4502,2005,1846.0
4502,2006,1893.0
4502,2007,1940.0
4502,2008,1693.0
4502,2009,1735.0
4502,2010,1765.0
4502,2011,1805.0
4502,2012,1871.0
4502,2013,1892.0
4502,2014,1920.0
4502,2015,1945.0
4502,2016,1988.0
4502,2017,2033.0
4502,2018,2063.0
4502,2019,2098.0
4502,2020,2139.0
4502,2021,2172.0
4502,2022,2190.0
4502,2023,2444.0
4502,2024,2470.0
4503,2003,212.0
4503,2004,214.0
4503,2005,229.0
4503,2006,216.0
4503,2007,213.0
4503,2008,213.0
4503,2009,212.0
4503,2010,213.0
4503,2011,210.0
4503,2012,230.0
4503,2013,252.0
4503,2014,280.0
4503,2015,280.0
4503,2016,296.0
4503,2017,322.0
4503,2018,348.0
4503,2019,371.0
4503,2020,386.0
4503,2021,426.0
4503,2022,462.0
4503,2023,543.0
4503,2024,534.0
4551,2003,263.0
4551,2004,291.0
4551,2005,303.0
4551,2006,334.0
4551,2007,350.0
4551,2008,398.0
4551,2009,422.0
4551,2010,424.0
4551,2011,427.0
4551,2012,435.0
4551,2013,473.0
4551,2014,510.0
4551,2015,534.0
4551,2016,574.0
4551,2017,594.0
4551,2018,618.0
4551,2019,632.0
4551,2020,637.0
4551,2021,669.0
4551,2022,713.0
4551,2023,740.0
4551,2024,742.0
4701,2003,459.0
4701,2004,483.0
4701,2005,487.0
4701,2006,500.0
4701,2007,517.0
4701,2008,560.0
4701,2009,565.0
4701,2010,568.0
4701,2011,579.0
4701,2012,616.0
4701,2013,627.0
4701,2014,615.0
4701,2015,637.0
4701,2016,630.0
4701,2017,634.0
4701,2018,704.0
4701,2019,705.0
4701,2020,755.0
4701,2021,784.0
4701,2022,820.0
4701,2023,804.0
4701,2024,815.0
4702,2003,478.0
4702,2004,472.0
4702,2005,480.0
4702,2006,478.0
4702,2007,487.0
4702,2008,427.0
4702,2009,446.0
4702,2010,453.0
4702,2011,453.0
4702,2012,478.0
4702,2013,485.0
4702,2014,476.0
4702,2015,489.0
4702,2016,509.0
4702,2017,543.0
4702,2018,550.0
4702,2019,552.0
4702,2020,531.0
4702,2021,544.0
4702,2022,572.0
4702,2023,847.0
4702,2024,872.0
