"Name","Name Hebrew","DB_ID","Settlement Type","Established Year","Established","x (ITM)","y (ITM)","x (UTM)","y(UTM)","Nearest Settlemet","District","Municipality","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ancient Susiya Synagogue","ביהכנ""ס העתיק סוסיא","230","Outpost","2002","June 2002","209934","590567","31.406605","35.10361","Susiya","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bat Ayin West","בת עין מערב","236","Outpost","2002","June 2002","208867","618786","31.6611","35.092086","Bat Ayin","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hakaron","הקרון","256","Outpost","2002","June 2002","226618","664088","32.069676","35.279588","Eli","Nablus","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haroeh","הרואה","258","Outpost","2002","June 2002","224946","662386","32.054337","35.261874","Eli","Nablus","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gilad Farm","חוות גלעד","260","Outpost","2002","June 2002","217237","678546","32.200076","35.180199","Kedumim","Qalqiliya","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gal Outpost","מאחז גל","350","Outpost","2002","June 2002","212044","603504","31.523303","35.125701","Kiryat Arba","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sde Boaz","שדה בועז","298","Outpost","2002","June 2002","214058","622389","31.693627","35.146809","Neve Daniel","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Yitzhar","מצפה יצהר","290","Outpost","2002","December 2002","223724","673666","32.156069","35.248983","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Assaf","גבעת אסף","244","Outpost","2002","","223569","646522","31.911278","35.247228","Beit El","Ramallah","Beit El","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kida","קידה","313","Outpost","2003","June 2003","232225","661720","32.048277","35.33894","Shvut Rachel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
