"Name","Name Hebrew","DB_ID","Settlement Type","Established Year","Established","x (ITM)","y (ITM)","x (UTM)","y(UTM)","Nearest Settlemet","District","Municipality","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Meitarim Farm","חוות מיתרים","1133","Farm Outpost","2021","","200005","585778","31.363291","34.999298","Meitarim Industrial Area","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Evyatar","אביתר","1136","Outpost","2021","","226117.34","669598.9693","32.119378","35.274324","Tapuach","","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Hadegel Susiya","גבעת הדגל סוסיא","1145","Farm Outpost","2021","","209942","589210","31.394806","35.10448","Susiya","","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mechora South - Yaya's Farm","מכורה דרום - החווה של יאיא","1159","Farm Outpost","2021","","238912","672126","32.142453","35.410722","Mechora","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mevo'ot Jericho Farm","חוות מבואות יריחו","1143","Farm Outpost","2021","","239930","646325","31.90976","35.42096","Mevo'ot Yericho","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zohar Farm","החווה של זהר","1160","Farm Outpost","2021","","236374.6","647150.1","31.917193","35.383379","Mevo'ot Yericho","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohavei Yah","אוהבי יה","1161","Outpost","2021","","208312","618442","31.658426","35.087008","Bat Ayin","","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avia Farm","חוות אבי""ה","1173","Farm Outpost","2021","","210656","706729","32.45463","35.11089","Rehan","","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The farm in Yizhar","החווה ביצהר","1212","Farm Outpost","2021","","223836.09","674304.17","32.162187","35.250855","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pnei Kedem North Farm","חוות פני קדם צפון","1144","Farm Outpost","2021","","220035","609962","31.600264","35.193271","Pnei Kedem","","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yehuda Farm 2","חוות יהודה","1141","Farm Outpost","2021","","200378.34","588402.477","31.386969","35.003173","Shimaa","","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oz Zion","עוז ציון","1158","Outpost","2021","","223701","646141","31.908277","35.249386","Givat Assaf","","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramat Migron","רמת מגרון","1157","Farm Outpost","2021","","225620","643730","31.88652","35.269659","Migron","","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ori Ad","אורי עד","1166","Outpost","2022","","215225","682123","32.232762","35.159607","Kedumim","Nablus","Kedumim","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shorashim Farm","חוות שורשים","1176","Farm Outpost","2022","","218401","593851","31.436574","35.193314","Carmel","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Khasham Um Daraj","ח'שם אום דרג' מצפה מדרג","1174","Outpost","2022","","223581","594541","31.442854","35.247827","Carmel","Yatta","Glilot","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahalat Zvi","נחלת צבי","1175","Outpost","2022","","228393","641970","31.870566","35.298885","Maale Michmash","Maale Michmash","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hagoshen South Farm","חוות הגושן דרום","1214","Farm Outpost","2022","","251138","681171","32.223787","35.540388","Hemdat","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avihai Farm","חוות אביחי","1168","Farm Outpost","2023","","203198","661677","32.04677","35.032826","Beit Arie","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Or Meir","אור מאיר","1180","Outpost","2023","","223804","649038","31.934321","35.250422","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gitit south - Jackson's Farm","גיתית דרום - החווה של ג'קסון","1181","Farm Outpost","2023","","236801","666254","32.089417","35.388259","Gitit","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seurim Farm - Emanuelle south","חוות שעורים - עמנואל דרום","1187","Farm Outpost","2023","","214103","673384","32.153904","35.147686","Emanuelle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tekoa' F Harel Farm","חוות הראל - תקוע","1188","Farm Outpost","2023","","223771.64","615265.98","31.629806","35.249714","Tekoa'","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahal Machoch farm","חוות נחל מכוך","1189","Farm Outpost","2023","","231815","646080","31.90755","35.335187","Maa'le Michmash","","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neve Erez South-Yinon's Farm","נווה ארז דרום - משכנות הראל","1190","Farm Outpost","2023","","229951","640448","31.857166","35.315264","Neve Erez","","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mevo'ot Jericho West","מבואות יריחו מערב - נצח הראל","1192","Farm Outpost","2023","","235500.04","646224.26","31.908861","35.373813","Mevoo't Jericho","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Simhovitz Farm","חוות אמונה - שמחוביץ, חוות שדה הראל","1194","Farm Outpost","2023","","211767","587052","31.375273","35.123479","Mizpe Yair","Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Negohot North","נגוהות צפון - שכונת הכרם","1195","Outpost","2023","","198615.8","600948.3","31.500509","34.98511","Negohot","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Elhai Farm","חוות אלחי - שבי שומרון","1216","Farm Outpost","2023","","214647.2","686670.4","32.27346","35.154199","Shave Shomron","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sde Yonatan","שדה יונתן","1196","Outpost","2023","","226470","643955","31.890726","35.282089","Ramat Migron","Ramallah","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Haktoret","גבעת הקטורת","1162","Farm Outpost","2023","","227275","663098","32.061097","35.287236","Eli","","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yahish Zion","יחיש ציון","1204","Outpost","2023","","221897","645288","31.888357","35.278539","Psagot","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Daroma Farm - Avigail East","אביגיל מזרח - חוות דרומא","1197","Farm Outpost","2023","","213893.43","589460.22","31.397035","35.145968","Avigayil","Yatta","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Batir Mahrur - Heletz","בתיר מחרור - חלץ","1198","Farm Outpost","2023","","214600","624880","31.716425","35.153266","","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nofei Elhanan","נופי אלחנן","1199","Outpost","2023","","212658","687546","32.281599","35.132213","Einav","Tul Karem","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Yair South","מצפה יאיר דרום","1237","Outpost","2023","","212413","587252","31.377424","35.131271","Mizpe Yair","Yatta","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asael north","עשהאל צפון","1200","Outpost","2023","","204435.4","587094.5","31.375642","35.046577","Asael","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Masua West Farm","חוות משואה מערב - סרטבא","1217","Farm Outpost","2023","","245393","668812","32.11233","35.479293","Mesoa","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpor Fazael - Maale Efrayim South East","מצפור פצאל - מעלה אפרים דרום מזרח","1193","Farm Outpost","2023","","239871","662517","32.055567","35.420584","Maale Efrayim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Danny Farm","חוות מצפה דני/חוות רוח הארץ","1182","Farm Outpost","2023","","230637","643212","31.881408","35.321952","Maa'le Michmash","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Susiya South","גבעת אלונים - סוסיא דרום","1183","Outpost","2023","","209518","588540","32.048097","35.032384","Susiya","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Har Maon Farm","חוות הר מעון - נחלת דב - החווה של ישראל ונחמה","1271","Farm Outpost","2023","","215898","589944","31.401262","35.167055","Maon","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tov Haaretz (Old) Maon Farm","חוות טוב הארץ - מדבר מעון","1184","Farm Outpost","2023","","216140","589915","31.40122","35.168191","Maon","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shabo Family - Har Haela Farm","משפחת שבו בתוך 918 - הר האלה","1185","Farm Outpost","2023","","214620.9","588389.5","31.387047","35.153869","Mizpe Yair","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Har Kanub North - Giva't Alufe Yehuda","הר כנוב צפון - גבעת אלופי יהודה - צור משגבי","1186","Farm Outpost","2023","","219005.87","612563.12","31.60541","35.199677","Pnei Kedem","Hebron","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rosh Te'ena Farm","חוות ראש תאנה","1219","Farm Outpost","2023","","235194","656750","32.003641","35.37095","Tomer","Jericho","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohana - Cnaan Farm Farm","אוחנה - חוות כנען חווה","1170","Farm Outpost","2023","","234792","636318","31.819521","35.366386","Kfar Adumim","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bekaot South - Neria's farm","בקעות דרום - החווה של נריה - מבוא השמש","1171","Farm Outpost","2023","","242319.5","682470.9","32.235679","35.447058","Bekaot","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bar Farm","חוות בר","1179","Farm Outpost","2023","","232429","664203","32.07099","35.341228","Esh Kodesh","Nablus","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gitit East - Dori's Farm","גיתית מזרח - נוף הרים","1224","Farm Outpost","2023","","238129","667877","32.104067","35.402588","Gitit","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gal Yossef","גל יוסף","1201","Farm Outpost","2024","","234169","660351","32.265669","35.176477","","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kochav Hashahar West - Mizpe Lea","כוכב השחר מערב - מצפה לאה","1254","Outpost","2024","","232155","650779","31.949952","35.338681","Kochav Hashahar","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shaveh Shomron Farm","חוות שבי שומרון","1225","Farm Outpost","2024","","216847","685775","32.264924","35.174295","Shavei Shomron","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tekoa' F - Neighborhood","תקוע ו' - שכונה","1202","Outpost","2024","","223889","615449","31.631328","35.251291","Tekoa","Bethlehem","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zohar Yehuda Farm","חוות זוהר יהודה - הר עזרור","1203","Farm Outpost","2024","","223920","614320","31.62125","35.251477","Tekoa","Bethlehem","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malache Avraham Farm - Pnei Hever East","פני חבר מזרח - מלאכי אברהם - חוות מתניה","1205","Farm Outpost","2024","","216649","598910","31.482174","35.174954","Pnei Hever","Hebron","Har Hevron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hoshen","חושן","1206","Outpost","2024","","223775","662504","32.055717","35.250294","Haroe","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beit Eliyahu","בית אליהו","1218","Outpost","2024","","245764","671800","32.13837","35.483437","Mesua","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Or Ahuvia -Maoz Ester B","אור אהוביה - מעוז אסתר ב'","1220","Outpost","2024","","225511","649370","31.93735","35.268453","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Noda' BeYehuda","נודע ביהודה","1255","Outpost","2024","","222733","611616","31.596699","35.238899","Maale Amos","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adumim Farm","חוות אדומים","1298","Farm Outpost","2024","","230740","631315","31.774386","35.323703","Maale Adumim","Jericho","Maale Adumim","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Khan Ushpizin","חאן האושפיזין","1207","Farm Outpost","2024","","223600","614900","31.625584","35.249828","Tekoa","Bethlehem","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tzur Harel Farm","חוות צור הראל","1208","Farm Outpost","2024","","223170","645904","31.906197","35.243586","Beit El (Oz Zion)","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amona Farm","חוות עמונה - מצפה רועים","1221","Farm Outpost","2024","","226661.55","651259.135","31.954347","35.280664","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pnei Kedem North - Derech HaShem","פני קדם צפון - דרך ה'","1232","Outpost","2024","","219319","611354.1","31.594397","35.203135","Pnei Kedem","Hebron","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tamir's Family Farm - Mevoo't Jericho East","שער המלך - מבואות יריחו מזרח","1226","Farm Outpost","2024","","240840","646575","31.911834","35.430421","Mevoo't Jericho","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giva't Yavo Dodi","גבעת יבוא דודי","1227","Farm Outpost","2024","","213954","652660","31.967066","35.146318","Kerem Reim","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shlisha Farm","חוות שלישה - מערבית למחצבת כוכב השחר","1242","Farm Outpost","2024","","231793","656214","31.99679","35.332061","","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beer Elhanan","באר אלחנן - עתניאל","1222","Outpost","2024","","203577","594707","31.444279","35.037465","Otniel","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Moti","מצפה מוטי","1228","Outpost","2024","","210283","671989","31.9992","35.334876","Havat Yair","Salfit","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gofna","גופנה","1233","Outpost","2024","","212137","653887","31.978042","35.126969","Nahliel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maale Rehava'm South","מעלה רחבעם דרום","1257","Outpost","2024","","224698","616872","31.644488","35.258968","Maale Rehava'm","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ofra South-East - Baruchi's Farm","עפרה דרום מזרח - חוות אורנים החווה של ברוכי","1229","Farm Outpost","2024","","226378","650059","31.943524","35.277642","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Or Nahman","אור נחמן","1272","Farm Outpost","2024","","231087.9","659473.7","32.028485","35.327453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hanina Farm","חוות חנינה","1238","Farm Outpost","2024","","228961","644638","31.894275","35.304636","Michmash","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Midbar Hever Farm B","חוות נתן ברוך - מדבר חבר ב'","1240","Farm Outpost","2024","","216831","597618","31.470671","35.176819","Pnei Hever","Hebron","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Tzarda Farm","חוות צרדה החדשה","1230","Farm Outpost","2024","","206058","662365","32.054777","35.061805","Pduel","Salfit","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Yair North","מצפה יאיר צפון - סימרי","1241","Farm Outpost","2024","","213474","588450","31.38774","35.141409","Mizpe Yair","Yatta","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Michal Farm","חוות מצפה מיכל - תומר מערב","1234","Farm Outpost","2024","","240782","658689","32.020943","35.430839","Netiv Hagdud","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eretz Kama Farm","חרמש דרום - חוות ארץ קמה","1243","Farm Outpost","2024","","211607","702437","32.416002","35.120818","Hermesh","Jenin","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netiv Hagdud Farm","חוות נתיב הגדוד (החווה של שלמה)","1235","Farm Outpost","2024","","241239","654741","31.98576","35.435261","Mala'ache Hashalom","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Khan al-Ahmar - Kfar Edomim South","חוות חאן אלאחמר - אחוות רעים","1259","Farm Outpost","2024","","231921","635314","31.810598","35.336017","Kfar Edumim","Jericho","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sde Shechem Farm","חוות שדה שכם - עוז יוסף","1244","Farm Outpost","2024","","229464","677131","32.187623","35.310446","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Umm Jamal - Maskiyot North","אום ג'מאל - חוות יחד לבבי","1258","Farm Outpost","2024","","246470","692990","32.33108","35.491103","","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magenzi B Farm","חוות מגנזי ב'","1245","Farm Outpost","2024","","202983","652012","31.961005","35.030366","Nili","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hesed Olam Farm","עופרים דרום - חוות חסד עולם","1246","Farm Outpost","2024","","203430","656768","32.003898","35.034664","Ofarim","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Telem North - Uri","תלם צפון - שכונת אורי","1284","Outpost","2024","","203629","608792","31.571185","35.0377","Telem","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Places Farm","חוות הארמונות","1248","Farm Outpost","2024","","240743","641893","31.869505","35.429962","Mizpe Danny","Jericho","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adora East","אדורה מזרח - מצפה ש""י","1249","Outpost","2024","","202510","606990","31.554901","35.02583","Adora","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palgei Mayim Farm","חוות פלגי מים","1285","Farm Outpost","2024","","225707","666525","32.091981","35.270676","Eli","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hauja - Yitav North Farm","חוות העוג'ה - ייטב צפון","1251","Farm Outpost","2024","","238933","650841","31.950411","35.410303","Yitav","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mikne Avraham","מקנה אברהם","1252","Farm Outpost","2024","","223255","612220","31.602195","35.244686","Maale Amos","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shovel Farm Ariel Industrial area","חוות שובאל - א.תעשיה אריאל","1262","Farm Outpost","2024","","212639","664922","32.077507","35.131439","Ariel","Salfit","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Talmonim North","טלמונים צפון","1263","Outpost","2024","","212576","650061","31.943401","35.130759","Talmonim","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tekoa H","תקוע ח'","1264","Outpost","2024","","223344","614589","31.623644","35.245428","Tekoa","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giva't Tzon Binyamin","גבעת צאן בנימין - דרומית לאדם","1265","Farm Outpost","2024","","227533","638850","31.842501","35.289701","Adam - Geva Binyamin","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avia Farm - Mechora East","חוות אביה - מכורה מזרח","1266","Farm Outpost","2024","","241698","673941","32.15927","35.441197","Mechora","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Hadagel B","גבעת הדגל ב'","1267","Farm Outpost","2024","","209807","589285","31.39551","35.102819","Susiya","Yatta","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tekoa I","תקוע ט'","1268","Farm Outpost","2024","","224565","614292","31.620964","35.258285","Tekoa","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tekoa J","תקוע י'","1269","Farm Outpost","2024","","226269","614943","31.626839","35.276215","Tekoa","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maale Rehava'm East","מעלה רחבעם מזרח","1270","Farm Outpost","2024","","225720","616932","31.644779","35.27049","Maale Rehavam","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bnayahu's Farm","החווה של בניהו","1306","Farm Outpost","2024","","228414","640390","31.856302","35.29912","Maale Mikhmash","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shvut Rachel North - Or Avraham","שבות רחל צפון - אור אברהם","1279","Outpost","2024","","230078","662877","32.059091","35.316968","Shvout Rahel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Otniel farm Farm","חוות עתניאל - אפקה","1273","Farm Outpost","2024","","203599","597375","31.468163","35.037925","Adoraim","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pne Hever West","פני חבר מערב - מצפה זיו","1274","Outpost","2024","","213718","599104","31.484244","35.144231","Pne Hever","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amiel Farm - Bardale","החווה של עמיאל - ברדלה","1286","Farm Outpost","2024","","244424","699679","32.390706","35.469611","Mehula","","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mizpe Malkiya Farm","חוות מצפה מלכיה","1278","Farm Outpost","2024","","213546","588291","31.386533","35.142273","Mizpe Yair","Yatta","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yad Hashomer","החווה של יהוראי מגורי - יד השומר","1281","Farm Outpost","2024","","223234","654642","31.98492","35.244416","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beit Hagai South","בית חגי דרום","1256","Outpost","2024","","207760","599555","31.488482","35.081433","Beit Hagai","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Mikne Avraham Farm","חוות מקנה יהודה החדשה - עשהאל דרום - גבעת שמורת השיט","1215","Farm Outpost","2024","","203585","585458","31.360834","35.037925","Asael","Yatta","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maale Efraim North - Priel Farm","מעלה אפרים צפון - החווה של פריאל","1352","Farm Outpost","2024","","239519","665016","32.078254","35.416964","Maale Efraim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giva't Haslai'm","גבעת הסלעים - חוות עטרת צפון","1280","Outpost","2025","","216210","657972","32.014663","35.170877","Ateret","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahal Heletz - Bar Kochva","בר כוכבא - נחל חלץ","1275","Outpost","2025","","214534","624702","31.714881","35.151994","","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Oz Yair - Ofra South - Tripi quarry","עפרה דרום - טריפי מזרח - גבעת עוז יאיר","1307","Outpost","2025","","225899.1","648290","31.927138","35.277357","Ofra","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neve Daniel West","נווה דניאל מערב","1283","Outpost","2025","","212857","620624","31.67791","35.134873","Neve Daniel","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adam North","אדם צפון - גבעת גור אריה","1282","Outpost","2025","","226198","640414","31.856772","35.275841","Adam - Geva Binyamin","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taysir Chechpoint Farm","מחסום תאייסיר - צבי עופרים","1338","Outpost","2025","","241468","692825","32.32902","35.438314","","Nablus","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahliel South","נחליאל דרום","1308","Outpost","2025","","212818","653198","31.971843","35.134184","Nahliel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zafnat farm - Kfar Tapuah North","כפר תפוח צפון - חוות צפנת","1288","Farm Outpost","2025","","224048","670607","32.12894","35.253632","Kfar Tapuach","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviad - Kiryat Arba South","אביעד - קרית ארבע דרום","1289","Outpost","2025","","212442","600353","31.495275","35.130648","Kiryat Arba","Hebron","Kiryat Arba","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviad Farm - Mizpe Jericho West Farm","חוות אביעד - מצפה יריחו מערב - מעלה אדומים דרום","1290","Farm Outpost","2025","","235756","635459","31.811812","35.376581","Mizpe Yericho","Jericho","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Yahaloma","גבעת יהלומה - אביתר מערב","1291","Farm Outpost - Yeshiva","2025","","225226","669789","32.121389","35.265566","Avyatar?","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HaMaayan - Alon Shvut West","המעיין - אלון שבות מערב","1292","Outpost","2025","","212848","617646","31.651283","35.134687","Alon Shvut","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ein Prat Farm","חוות עין פרת -ש""ש","1300","Farm Outpost","2025","","235009","636844","31.82429","35.368733","Kfar Adomim","Jericho","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tzur Yehuda Farm","חוות צור יהודה","1296","Farm Outpost","2025","","210176","612715","31.606753","35.10657","Karme Tzur","Hebron","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Naale West Farm","חוות נעלה מערב","1293","Farm Outpost","2025","","205761","652884","31.96903","35.059629","Naale","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eshkolot Farm","חוות אשכולות","1301","Farm Outpost","2025","","192006","592257","31.422004","34.914775","Eshkolot?","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Efrat farm","חוות אפרת","1386","Farm Outpost","2025","","218061","621192","31.683439","35.189511","Efrat","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahalat Efraim Farm","חוות נחלת אפרים - עין סמיה","1309","Farm Outpost","2025","","232210","654928","31.987267","35.339354","","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tkoa South - Tomer's Farm","החווה של תומר - תקוע דרום","1310","Farm Outpost","2025","","223495","613460","31.613127","35.247258","Tkoa","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zarzir Farm","מוצב זרזיר - חוות שער ישראל","1357","Farm Outpost","2025","","251950","672776","32.148003","35.548196","Argaman","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asfar West","אספר מערב","1294","Outpost","2025","","217478","610764","31.588618","35.183831","Asfar","Bethlehem","Gush Ezion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
